Table 1-44: Passengers Boarded at the Top 50 U.S. Airports,,,,,,,,,
(Ranked by Passenger Enplanements in 2016),,,,,,,,,
Airport,Code,2006,,2015,,2016,,Percent change 2006-2016,Percent change 2015-2016
,,Rank,Total Enplaned Passengers,Rank,Total Enplaned Passengers,Rank,Total Enplaned Passengers,,
"Atlanta, GA (Hartsfield-Jackson Atlanta International)",ATL,1,"41,588,131",1,"49,784,569",1,"46,738,828",12.4,-6.1
"Los Angeles, CA (Los Angeles International)",LAX,3,"30,190,103",2,"37,057,880",2,"36,739,546",21.7,-0.9
"Chicago, IL (Chicago O'Hare International)",ORD,2,"37,249,218",3,"36,493,131",3,"34,807,000",-6.6,-4.6
"Dallas/Fort Worth, TX (Dallas/Fort Worth International)",DFW,4,"29,005,998",4,"31,708,945",4,"28,892,344",-0.4,-8.9
"New York, NY (John F. Kennedy International)",JFK,8,"21,330,150",5,"28,026,228",5,"26,763,037",25.5,-4.5
"Denver, CO (Denver International)",DEN,5,"23,123,200",6,"26,626,876",6,"26,282,242",13.7,-1.3
"San Francisco, CA (San Francisco International)",SFO,14,"16,561,197",7,"24,374,805",7,"23,689,957",43.0,-2.8
"Las Vegas, NV (McCarran International)",LAS,6,"22,610,775",9,"22,097,532",8,"21,245,433",-6.0,-3.9
"Seattle, WA (Seattle/Tacoma International)",SEA,18,"15,016,835",13,"20,231,351",9,"20,180,429",34.4,-0.3
"Charlotte, NC (Charlotte Douglas International)",CLT,17,"15,020,668",8,"22,241,204",10,"20,003,812",33.2,-10.1
"Phoenix, AZ (Phoenix Sky Harbor International)",PHX,7,"21,584,497",10,"21,935,329",11,"19,558,474",-9.4,-10.8
"Miami, FL (Miami International)",MIA,15,"15,840,145",11,"21,097,271",12,"19,056,337",20.3,-9.7
"Orlando, FL (Orlando International)",MCO,13,"17,012,578",14,"18,890,238",13,"18,641,627",9.6,-1.3
"Houston, TX (George Bush Intercontinental/Houston)",IAH,9,"20,589,033",12,"20,773,226",14,"18,402,879",-10.6,-11.4
"Newark, NJ (Newark Liberty International)",EWR,10,"17,900,938",15,"18,770,305",15,"18,189,705",1.6,-3.1
"Minneapolis, MN (Minneapolis-St Paul International)",MSP,12,"17,377,817",16,"17,753,822",16,"16,827,248",-3.2,-5.2
"Boston, MA (Logan International)",BOS,19,"13,584,717",17,"16,373,090",17,"16,384,706",20.6,0.1
"Detroit, MI (Detroit Metro Wayne County)",DTW,11,"17,696,240",18,"16,338,390",18,"15,565,642",-12.0,-4.7
"New York, NY (LaGuardia)",LGA,20,"12,946,911",20,"14,333,938",19,"13,559,959",4.7,-5.4
"Philadelphia, PA (Philadelphia International)",PHL,16,"15,711,608",19,"15,212,484",20,"13,534,364",-13.9,-11.0
"Fort Lauderdale, FL (Fort Lauderdale-Hollywood International)",FLL,23,"10,561,468",21,"13,149,948",21,"13,002,486",23.1,-1.1
"Baltimore, MD (Baltimore/Washington International Thurgood Marshall)",BWI,22,"10,844,205",22,"12,024,669",22,"11,543,328",6.4,-4.0
"Washington, DC (Ronald Reagan Washington National)",DCA,28,"9,075,327",23,"11,292,497",23,"10,571,032",16.5,-6.4
"Chicago, IL (Chicago Midway International)",MDW,26,"9,421,386",24,"11,203,408",24,"10,432,344",10.7,-6.9
"Salt Lake City, UT (Salt Lake City International)",SLC,24,"10,538,480",25,"10,697,496",25,"10,285,694",-2.4,-3.8
"Washington, DC (Washington Dulles International)",IAD,21,"11,206,536",26,"10,440,911",26,"9,749,989",-13.0,-6.6
"San Diego, CA (San Diego International)",SAN,29,"8,861,792",27,"10,184,207",27,"9,639,689",8.8,-5.3
"Honolulu, HI (Honolulu International)",HNL,25,"9,994,623",28,"9,579,087",28,"8,906,524",-10.9,-7.0
"Tampa, FL (Tampa International)",TPA,27,"9,389,106",29,"9,310,607",29,"8,522,772",-9.2,-8.5
"Portland, OR (Portland International)",PDX,33,"7,068,398",30,"8,379,061",30,"8,343,693",18.0,-0.4
"Dallas, TX (Dallas Love Field)",DAL,48,"3,813,492",31,"7,415,556",31,"7,223,271",89.4,-2.6
"St. Louis, MO (Lambert-St. Louis International)",STL,31,"7,475,310",32,"6,487,713",32,"6,419,698",-14.1,-1.0
"Nashville, TN (Nashville International)",BNA,40,"5,142,046",35,"5,936,748",33,"6,000,123",16.7,1.1
"Houston, TX (William P Hobby)",HOU,44,"4,624,785",33,"6,285,562",34,"5,929,329",28.2,-5.7
"Austin, TX (Austin - Bergstrom International)",AUS,45,"4,152,102",34,"5,950,412",35,"5,712,783",37.6,-4.0
"Oakland, CA (Metropolitan Oakland International)",OAK,32,"7,335,131",36,"5,689,426",36,"5,560,309",-24.2,-2.3
"New Orleans, LA (Louis Armstrong New Orleans International)",MSY,56,"3,162,461",37,"5,467,561",37,"5,219,411",65.0,-4.5
"Kansas City, MO (Kansas City International)",MCI,34,"5,914,788",38,"5,293,009",38,"5,086,194",-14.0,-3.9
"Raleigh/Durham, NC (Raleigh-Durham International)",RDU,43,"4,790,456",39,"5,002,315",39,"4,975,665",3.9,-0.5
"San Jose, CA (Norman Y. Mineta San Jose International)",SJC,37,"5,435,346",41,"4,906,732",40,"4,918,935",-9.5,0.2
"Santa Ana, CA (John Wayne Airport-Orange County)",SNA,42,"4,816,633",40,"4,999,142",41,"4,843,051",0.5,-3.1
"Sacramento, CA (Sacramento International)",SMF,39,"5,298,419",42,"4,810,107",42,"4,631,116",-12.6,-3.7
"San Juan, PR (Luis Munoz Marin International)",SJU,38,"5,300,174",43,"4,271,558",43,"3,984,841",-24.8,-6.7
"Indianapolis, IN (Indianapolis International)",IND,46,"4,110,278",46,"3,960,509",44,"3,938,248",-4.2,-0.6
"San Antonio, TX (San Antonio International)",SAT,47,"4,104,807",44,"4,210,893",45,"3,908,897",-4.8,-7.2
"Fort Myers, FL (Southwest Florida International)",RSW,49,"3,792,978",45,"4,192,335",46,"3,890,676",2.6,-7.2
"Cleveland, OH (Cleveland-Hopkins International)",CLE,36,"5,502,620",47,"3,955,500",47,"3,800,535",-30.9,-3.9
"Pittsburgh, PA (Pittsburgh International)",PIT,41,"5,054,708",48,"3,952,524",48,"3,707,037",-26.7,-6.2
"Columbus, OH (Port Columbus International)",CMH,55,"3,366,658",49,"3,362,926",49,"3,320,485",-1.4,-1.3
"Milwaukee, WI (General Mitchell International)",MKE,50,"3,709,096",50,"3,319,258",50,"3,144,797",-15.2,-5.3
"Top 50 U.S. Airports, totala",,,"622,979,619",,"685,852,291",,"652,276,521",4.7,-4.9
All U.S. Airportsb,,,"754,130,704",,"809,409,678",,"768,441,396",1.9,-5.1
,,,,,,,,,
aThe 2006 and 2015 totals for the top 50 airports will not sum from the individual airports because some top 50 airports in 2016 were not in the top 50 in earlier years.,,,,,,,,,
"bThe all U.S. airports include Puerto Rico, U.S. Virgin Islands and U.S. Pacific Trust Territories and Possessions.",,,,,,,,,
,,,,,,,,,
NOTE:,,,,,,,,,
"Previous versions of this table included only U.S. air carriers and are not comparable. Beginning in October 2002, data reports were expanded to include data for carriers that fly aircraft with 60 seats or less or having a payload capacity of 18,000 lbs. or less.",,,,,,,,,
,,,,,,,,,
SOURCE:  ,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, Office of Airline Information, T-100 (Air Carriers Statistics - Form 41 Traffic), T-100 Segment ( All U.S.-Carriers), available at http://transtats.bts.gov/ as of May 2017.",,,,,,,,,
